timestamp,coin,price,market_cap,volume,market_cap_rank,ath,atl,log_return_1d,volatility_7d,volatility_14d,rsi_14,volume_to_marketcap,circulating_supply_history,distance_from_ath,distance_from_atl,has_max_supply,ma_7,ma_14,ma_30,price_to_ma7,price_to_ma30,macd,macd_signal,macd_histogram,momentum_5d,momentum_10d,momentum_acceleration
2025-05-18,ethereum,2475.05,298789831687.0,17185510891.0,2,4946.05,0.43,-0.027630337778337025,0.03617142884722202,0.06400972109838955,74.59019540097512,0.05751705402412368,120720726.0,-0.4995905823839225,5754.93023255814,0,2548.8571428571427,2301.3785714285714,2007.2846666666667,-0.028956955498262382,0.23303387959920657,215.09416103547755,178.40584137801255,36.688319657465,-0.006973114590981377,0.36718922621415007,-0.37416234080513144
2025-05-19,ethereum,2465.34,296863390804.0,24797434472.0,2,4946.05,0.43,-0.0039308688192719295,0.03462132521624712,0.06361662659168763,75.55489881943042,0.0835314667963628,120414787.0,-0.5015537651257064,5732.348837209303,0,2542.8385714285714,2348.32,2036.4910000000002,-0.030477188878345676,0.21058232027541487,205.52365793900253,183.82940469021054,21.694253248791995,-0.07894225596269944,0.12185332823677175,-0.2007955841994712
2025-05-20,ethereum,2526.99,305077067863.0,25363871275.0,2,4946.05,0.43,0.02469914211912644,0.036008325496959016,0.06345865334653294,76.4665363910664,0.08313922594270531,120727454.0,-0.48908927325845886,5875.720930232558,0,2547.7757142857145,2398.819285714286,2066.889,-0.008158376802622944,0.2226055680784017,200.6011992971603,187.1837636116005,13.41743568555978,-0.02946937458712917,0.07925993311722412,-0.1087293077043533
2025-05-21,ethereum,2524.27,304737250158.0,22871462735.0,2,4946.05,0.43,-0.0010769591202578986,0.01929087823202664,0.06342735412151457,76.53013817702248,0.07505305873548973,120722922.0,-0.4896392070440048,5869.39534883721,0,2526.0085714285715,2449.397857142857,2098.1826666666666,-0.0006882682221415676,0.20307447016052627,194.24153854589167,188.59531859845873,5.6462199474329395,-0.007092003304094763,-0.022994333663611588,0.015902330359516825
2025-05-22,ethereum,2558.95,308934701950.0,32697477528.0,2,4946.05,0.43,0.013645106087995176,0.018725461327459083,0.06303926694230545,77.45553232845567,0.10583944542847755,120727135.0,-0.4826275512782928,5950.046511627907,0,2519.612857142857,2502.871428571428,2130.8993333333333,0.015612375824177,0.20087793917372596,189.81181529579908,188.8386179379268,0.9731973578722659,0.005722393186579078,0.02053065440463886,-0.014808261218059782
2025-05-23,ethereum,2657.17,320733890913.0,29592612077.0,2,4946.05,0.43,0.03766462856104305,0.02127826331273414,0.04065235195265087,71.39054108141822,0.09226531063730674,120705070.0,-0.4627692805369942,6178.465116279071,0,2536.022857142857,2535.700714285714,2160.8146666666667,0.04777052482627475,0.22970749920863184,192.013350466857,189.47356444371286,2.5397860231441314,0.07358235187167939,0.06609613910922274,0.0074862127624566455
2025-05-24,ethereum,2519.81,304038733414.0,30047329192.0,2,4946.05,0.43,-0.05307814480998085,0.03108787368211363,0.04157669971250503,58.35331135750676,0.09882730681911339,120659388.0,-0.49054093670706933,5859.023255813954,0,2532.511428571429,2548.4435714285714,2185.0093333333334,-0.005015348964720679,0.15322619521991357,180.59252075225186,187.69735570542068,-7.104834953168819,0.022094315591358438,-0.058592115488074525,0.08068643107943296
2025-05-25,ethereum,2529.44,305369227833.0,10744994421.0,2,4946.05,0.43,0.0038144325102890575,0.028855415502859628,0.03179861061028528,46.7528735632184,0.03518689324805252,120726022.0,-0.48859392848838973,5881.418604651163,0,2540.281428571429,2544.5692857142853,2210.3443333333335,-0.004267806097974641,0.14436468646740255,170.35474794733636,184.2288341538038,-13.874086206467439,0.0009695329225680727,-0.0285284131934308,0.029497946115998874
2025-05-26,ethereum,2546.62,307423642894.0,13814697850.0,2,4946.05,0.43,0.006769055369351298,0.02870356902660717,0.03077132691181279,52.52199904660063,0.044937005234705785,120718302.0,-0.48512044965174234,5921.372093023256,0,2551.8928571428573,2547.3657142857146,2235.605,-0.0020662533413573748,0.13911894095781674,161.76282055946967,179.73563143493698,-17.972810875467303,0.008854044931801974,0.0016992487117963861,0.007154796220005588
2025-05-27,ethereum,2562.17,309319360638.0,13350148034.0,2,4946.05,0.43,0.006087565948710909,0.027365988161495304,0.030725811117279653,54.48962249575116,0.0431597556857226,120725541.0,-0.4819765267233449,5957.534883720931,0,2556.9185714285713,2552.347142857143,2260.3016666666667,0.002053811423683593,0.13355223233476948,154.4282584116031,174.67415683027022,-20.24589841866711,0.0012583286113445613,0.006987922448995709,-0.005729593837651148
2025-05-28,ethereum,2662.09,321357595435.0,26434151855.0,2,4946.05,0.43,0.03825697288364085,0.030494318203235445,0.02587629154148252,48.949291584222784,0.08225774722771957,120716278.0,-0.46177454736608,6189.906976744187,0,2576.6071428571427,2551.3078571428573,2289.2483333333334,0.03317651950932164,0.16286641393936438,154.89276660445285,170.71787878510676,-15.825112180653917,0.001851593989093736,0.07557019050120206,-0.07371859651210833
